0,1,2,3,4,5,6
105.1,104.5,6.8949575,96.643234,352.34933,281.7346,90.9
103.5,103.9,167.28024,85.60289,77.093216,54.107407,52.5
103.5,103.7,51.552353,144.04845,298.0679,284.91574,66.2
104.9,104.9,6.8949575,96.643234,352.34933,281.7346,94.0
104.9,105.0,160.26392,65.765686,96.278755,94.10327,52.1
104.7,104.8,57.277935,146.07857,245.04926,265.5475,64.4
103.0,103.2,6.8949575,96.643234,352.34933,281.7346,95.4
100.4,96.3,167.28024,85.60289,77.093216,54.107407,41.7
104.6,104.9,109.8487,20.591106,90.020424,51.627377,63.4
104.3,104.3,160.26392,65.765686,96.278755,94.10327,52.8
104.8,104.8,167.28024,85.60289,77.093216,54.107407,50.8
104.8,104.1,109.8487,20.591106,90.020424,51.627377,58.2
104.2,104.2,109.8487,20.591106,90.020424,51.627377,61.8
103.4,103.5,57.277935,146.07857,245.04926,265.5475,61.9
103.8,101.7,109.8487,20.591106,90.020424,51.627377,57.7
104.7,104.8,109.8487,20.591106,90.020424,51.627377,63.3
105.4,105.4,6.8949575,96.643234,352.34933,281.7346,98.2
104.4,104.9,160.26392,65.765686,96.278755,94.10327,52.1
104.8,105.0,160.26392,65.765686,96.278755,94.10327,50.7
105.5,105.7,57.277935,146.07857,245.04926,265.5475,65.6
105.1,104.5,57.277935,146.07857,245.04926,265.5475,59.7
104.8,104.4,160.26392,65.765686,96.278755,94.10327,51.3
104.6,104.0,51.552353,144.04845,298.0679,284.91574,66.1
104.4,104.1,51.552353,144.04845,298.0679,284.91574,70.7
104.9,105.0,57.277935,146.07857,245.04926,265.5475,62.1
